year,month,day,time,tank,num,sl_mm,wet_total_weight_g,wet_liver_g,wet_evis_g,dry_liver_mg,dry_evis_g,mortality,Notes,drying notes
2016,12,16,,,1,88,4.945,0.006,4.5,1.26,0.809,no,day 0,
2016,12,16,,,2,87,5.201,0.003,4.777,0.8,0.903,no,day 0,
2016,12,16,,,3,86,5.687,0.003,5.118,0.83,0.977,no,day 0,
2016,12,16,,,4,87,5.152,0.005,4.672,1.26,0.781,no,day 0,
2016,12,16,,,5,98,7.694,0.018,6.861,3.45,1.332,no,day 0,
2016,12,16,,,6,88,5.023,0.004,4.606,0.73,0.819,no,day 0,
2016,12,16,,,7,89,5.303,0.006,4.741,1.34,0.876,no,day 0,
2016,12,16,,,8,94,6.664,0.01,5.999,2.3,1.143,no,day 0,
2016,12,16,,,9,89,5.511,0.003,4.932,0.68,0.948,no,day 0,
2016,12,16,,,11,92,6.963,0.007,5.526,1.58,1.242,no,day 0,
2016,12,16,,,15,89,4.677,0.007,4.283,1.44,0.748,no,day 0,
2016,12,16,,,16,113,12.097,0.019,10.753,3.64,2.074,no,day 0,
2016,12,16,,,19,89,6.451,0.007,5.762,1.36,1.073,no,day 0,
2016,12,16,,,20,95,7.03,0.011,6.194,2.22,1.168,no,day 0,
2016,12,16,,,21,90,6.245,0.008,5.528,1.76,1.068,no,day 0,
2016,12,16,,,22,86,5.068,0.009,4.539,1.8,0.782,no,day 0,
2016,12,16,,,23,97,7.195,0.013,6.45,2.28,1.205,no,day 0,
2016,12,16,,,24,90,6.02,0.009,5.311,1.89,1.034,no,day 0,
2016,12,16,,,25,97,7.773,0.012,7.011,2.49,1.363,no,day 0,
2016,12,16,,,26,92,6.287,0.008,5.728,1.45,1.088,no,day 0,
2016,12,16,,,27,85,5.658,0.011,5.051,2.55,0.969,no,day 0,
2016,12,16,,,28,87,6.108,0.004,5.322,0.93,1.001,no,day 0,
2016,12,16,,,29,91,6.802,0.007,5.977,1.42,1.169,no,day 0,
2016,12,16,,,30,95,6.566,0.008,6.022,1.42,1.063,no,day 0,
2016,12,16,,,31,106,10.102,0.012,9.063,2.18,1.753,no,day 0,
2016,12,16,,,32,65,1.794,0.001,1.69,0.21,0.314,no,day 0,
2016,12,16,,,33,110,11.249,0.007,10.202,1.24,1.952,no,day 0,
2016,12,16,,,34,76,3.71,0.004,3.253,0.5,0.598,no,day 0,
2016,12,16,,,35,102,9.991,0.018,8.903,3.5,1.76,no,day 0,
2016,12,16,,,36,79,3.779,0.003,3.305,0.71,0.578,no,day 0,
2016,12,16,,,37,76,3.172,0.002,2.032,0.5,0.592,no,day 0,
2016,12,16,,,38,102,9.047,0.013,7.902,2.76,1.551,no,day 0,
2016,12,16,,,39,80,4.276,0.003,3.675,0.57,0.644,no,day 0,
2016,12,16,,,40,96,6.992,0.009,6.309,1.65,1.185,no,day 0,
2016,12,16,,,41,64,1.77,0.001,1.422,0.18,0.242,no,day 0,
2016,12,16,,,42,112,12.351,0.01,11.218,1.92,2.153,no,day 0,
2016,12,16,,,43,111,12.506,0.011,10.987,2,2.125,no,day 0,
2016,12,16,,,44,112,11.733,0.016,10.166,3.09,1.93,no,day 0,
2016,12,16,,,45,101,7.774,0.006,6.929,1.25,1.25,no,day 0,
2016,12,16,,,46,103,8.733,0.007,7.565,1.34,1.411,no,day 0,
2016,12,16,,,47,113,11.989,0.019,10.665,3.61,2.127,no,day 0,
2017,1,1,820,16,,69,2.22,,2.043,,0.372,yes,Last checked  1630 31/12/16,drying notes
2017,1,1,820,21,,65,1.647,0.003,1.492,0.49,0.299,yes,Last checked 1630 31/12/16 ,
2017,1,2,920,15,,64,1.341,0.001,1.228,0.28,0.212,yes,last checked 1400 1//17 ,
