year,month,day,tank,size,trt,feeding (g),notes
2017,1,1,1,large,0.5%,0.950,
2017,1,1,2,large,2.0%,2.100,
2017,1,1,3,small,0.0%,0.000,
2017,1,1,4,small,1.0%,0.450,
2017,1,1,5,large,1.0%,1.470,
2017,1,1,6,large,0.0%,0.000,
2017,1,1,7,small,2.0%,0.960,
2017,1,1,8,small,0.5%,0.360,
2017,1,1,9,small,0.0%,0.000,
2017,1,1,10,large,2.0%,1.870,
2017,1,1,11,small,1.0%,0.470,
2017,1,1,12,small,0.5%,0.330,
2017,1,1,13,small,1.0%,0.680,
2017,1,1,14,small,2.0%,1.050,
2017,1,1,15,small,0.0%,0.000,
2017,1,1,16,small,0.5%,0.290,
2017,1,1,17,small,2.0%,0.900,
2017,1,1,18,large,0.0%,0.000,
2017,1,1,19,small,1.0%,0.680,
2017,1,1,20,large,0.5%,0.900,
2017,1,1,21,small,0.0%,1.100,
2017,1,1,22,small,2.0%,0.660,
2017,1,1,23,large,0.5%,0.660,
2017,1,1,24,small,1.0%,0.750,
2017,1,1,25,large,0.0%,0.000,
2017,1,1,26,small,1.0%,0.790,
2017,1,1,27,small,2.0%,1.200,
2017,1,1,28,small,0.5%,0.460,
2017,1,1,29,small,0.5%,0.460,
2017,1,1,30,small,2.0%,1.400,
2017,1,1,31,small,0.0%,0.000,
2017,1,1,32,large,1.0%,1.290,
2017,1,1,33,small,0.5%,0.440,
2017,1,1,34,large,1.0%,1.770,
2017,1,1,35,small,0.0%,0.000,
2017,1,1,36,large,2.0%,2.910,
2017,1,2,1,large,0.5%,0.474,
2017,1,2,2,large,2.0%,1.398,
2017,1,2,3,small,0.0%,0.000,
2017,1,2,4,small,1.0%,0.224,
2017,1,2,5,large,1.0%,0.734,
2017,1,2,6,large,0.0%,0.000,
2017,1,2,7,small,2.0%,0.643,
2017,1,2,8,small,0.5%,0.180,
2017,1,2,9,small,0.0%,0.000,
2017,1,2,10,large,2.0%,1.243,
2017,1,2,11,small,1.0%,0.234,
2017,1,2,12,small,0.5%,0.164,
2017,1,2,13,small,1.0%,0.340,
2017,1,2,14,small,2.0%,0.697,
2017,1,2,15,small,0.0%,0.000,
2017,1,2,16,small,0.5%,0.145,
2017,1,2,17,small,2.0%,0.597,
2017,1,2,18,large,0.0%,0.000,
2017,1,2,19,small,1.0%,0.339,
2017,1,2,20,large,0.5%,0.447,
2017,1,2,21,small,0.0%,0.000,
2017,1,2,22,small,2.0%,0.736,
2017,1,2,23,large,0.5%,0.331,
2017,1,2,24,small,1.0%,0.373,
2017,1,2,25,large,0.0%,0.000,
2017,1,2,26,small,1.0%,0.394,
2017,1,2,27,small,2.0%,0.802,
2017,1,2,28,small,0.5%,0.232,
2017,1,2,29,small,0.5%,0.232,
2017,1,2,30,small,2.0%,0.936,
2017,1,2,31,small,0.0%,0.000,
2017,1,2,32,large,1.0%,0.646,
2017,1,2,33,small,0.5%,0.219,
2017,1,2,34,large,1.0%,0.884,
2017,1,2,35,small,0.0%,0.000,
2017,1,2,36,large,2.0%,1.941,
2017,1,3,1,large,0.5%,0.474,
2017,1,3,2,large,2.0%,1.398,
2017,1,3,3,small,0.0%,0.000,
2017,1,3,4,small,1.0%,0.224,
2017,1,3,5,large,1.0%,0.734,
2017,1,3,6,large,0.0%,0.000,
2017,1,3,7,small,2.0%,0.643,
2017,1,3,8,small,0.5%,0.180,
2017,1,3,9,small,0.0%,0.000,
2017,1,3,10,large,2.0%,1.243,
2017,1,3,11,small,1.0%,0.234,
2017,1,3,12,small,0.5%,0.164,
2017,1,3,13,small,1.0%,0.340,
2017,1,3,14,small,2.0%,0.697,
2017,1,3,15,small,0.0%,0.000,
2017,1,3,16,small,0.5%,0.145,
2017,1,3,17,small,2.0%,0.597,
2017,1,3,18,large,0.0%,0.000,
2017,1,3,19,small,1.0%,0.339,
2017,1,3,20,large,0.5%,0.447,
2017,1,3,21,small,0.0%,0.000,
2017,1,3,22,small,2.0%,0.736,
2017,1,3,23,large,0.5%,0.331,
2017,1,3,24,small,1.0%,0.373,
2017,1,3,25,large,0.0%,0.000,
2017,1,3,26,small,1.0%,0.394,
2017,1,3,27,small,2.0%,0.802,
2017,1,3,28,small,0.5%,0.232,
2017,1,3,29,small,0.5%,0.232,
2017,1,3,30,small,2.0%,0.936,
2017,1,3,31,small,0.0%,0.000,
2017,1,3,32,large,1.0%,0.646,
2017,1,3,33,small,0.5%,0.219,
2017,1,3,34,large,1.0%,0.884,
2017,1,3,35,small,0.0%,0.000,
2017,1,3,36,large,2.0%,1.941,
2017,1,4,1,large,0.5%,0.474,
2017,1,4,2,large,2.0%,1.398,
2017,1,4,3,small,0.0%,0.000,
2017,1,4,4,small,1.0%,0.224,
2017,1,4,5,large,1.0%,0.734,
2017,1,4,6,large,0.0%,0.000,
2017,1,4,7,small,2.0%,0.643,
2017,1,4,8,small,0.5%,0.180,
2017,1,4,9,small,0.0%,0.000,
2017,1,4,10,large,2.0%,1.243,
2017,1,4,11,small,1.0%,0.234,
2017,1,4,12,small,0.5%,0.164,
2017,1,4,13,small,1.0%,0.340,
2017,1,4,14,small,2.0%,0.697,
2017,1,4,15,small,0.0%,0.000,
2017,1,4,16,small,0.5%,0.145,
2017,1,4,17,small,2.0%,0.597,
2017,1,4,18,large,0.0%,0.000,
2017,1,4,19,small,1.0%,0.317,
2017,1,4,20,large,0.5%,0.447,
2017,1,4,21,small,0.0%,0.000,
2017,1,4,22,small,2.0%,0.736,
2017,1,4,23,large,0.5%,0.331,
2017,1,4,24,small,1.0%,0.373,
2017,1,4,25,large,0.0%,0.000,
2017,1,4,26,small,1.0%,0.394,
2017,1,4,27,small,2.0%,0.802,
2017,1,4,28,small,0.5%,0.232,
2017,1,4,29,small,0.5%,0.232,
2017,1,4,30,small,2.0%,0.855,
2017,1,4,31,small,0.0%,0.000,
2017,1,4,32,large,1.0%,0.646,
2017,1,4,33,small,0.5%,0.219,
2017,1,4,34,large,1.0%,0.884,
2017,1,4,35,small,0.0%,0.000,
2017,1,4,36,large,2.0%,1.941,
2017,1,5,1,large,0.5%,0.474,
2017,1,5,2,large,2.0%,1.398,
2017,1,5,3,small,0.0%,0.000,
2017,1,5,4,small,1.0%,0.224,
2017,1,5,5,large,1.0%,0.734,
2017,1,5,6,large,0.0%,0.000,
2017,1,5,7,small,2.0%,0.587,
2017,1,5,8,small,0.5%,0.180,
2017,1,5,9,small,0.0%,0.000,
2017,1,5,10,large,2.0%,1.243,
2017,1,5,11,small,1.0%,0.234,
2017,1,5,12,small,0.5%,0.164,
