year,month,day,tank,size,trt,Leftover (g)
2017,1,1,1,large,0.5%,0.000
2017,1,1,2,large,2.0%,1.274
2017,1,1,3,small,0.0%,0.000
2017,1,1,4,small,1.0%,0.363
2017,1,1,5,large,1.0%,0.234
2017,1,1,6,large,0.0%,0.000
2017,1,1,7,small,2.0%,0.579
2017,1,1,8,small,0.5%,0.072
2017,1,1,9,small,0.0%,0.000
2017,1,1,10,large,2.0%,1.133
2017,1,1,11,small,1.0%,0.461
2017,1,1,12,small,0.5%,0.000
2017,1,1,13,small,1.0%,0.322
2017,1,1,14,small,2.0%,0.669
2017,1,1,15,small,0.0%,0.000
2017,1,1,16,small,0.5%,0.000
2017,1,1,17,small,2.0%,0.720
2017,1,1,18,large,0.0%,0.000
2017,1,1,19,small,1.0%,0.373
2017,1,1,20,large,0.5%,0.000
2017,1,1,21,small,0.0%,0.000
2017,1,1,22,small,2.0%,0.700
2017,1,1,23,large,0.5%,0.000
2017,1,1,24,small,1.0%,0.291
2017,1,1,25,large,0.0%,0.000
2017,1,1,26,small,1.0%,0.184
2017,1,1,27,small,2.0%,0.735
2017,1,1,28,small,0.5%,0.000
2017,1,1,29,small,0.5%,0.000
2017,1,1,30,small,2.0%,1.006
2017,1,1,31,small,0.0%,0.000
2017,1,1,32,large,1.0%,0.438
2017,1,1,33,small,0.5%,0.000
2017,1,1,34,large,1.0%,0.260
2017,1,1,35,small,0.0%,0.000
2017,1,1,36,large,2.0%,1.392
2017,1,2,1,large,0.5%,0.000
2017,1,2,2,large,2.0%,0.000
2017,1,2,3,small,0.0%,0.000
2017,1,2,4,small,1.0%,0.000
2017,1,2,5,large,1.0%,0.000
2017,1,2,6,large,0.0%,0.000
2017,1,2,7,small,2.0%,0.000
2017,1,2,8,small,0.5%,0.000
2017,1,2,9,small,0.0%,0.000
2017,1,2,10,large,2.0%,0.000
2017,1,2,11,small,1.0%,0.000
2017,1,2,12,small,0.5%,0.000
2017,1,2,13,small,1.0%,0.000
2017,1,2,14,small,2.0%,0.000
2017,1,2,15,small,0.0%,0.000
2017,1,2,16,small,0.5%,0.000
2017,1,2,17,small,2.0%,0.000
2017,1,2,18,large,0.0%,0.000
2017,1,2,19,small,1.0%,0.000
2017,1,2,20,large,0.5%,0.000
2017,1,2,21,small,0.0%,0.000
2017,1,2,22,small,2.0%,0.000
2017,1,2,23,large,0.5%,0.000
2017,1,2,24,small,1.0%,0.000
2017,1,2,25,large,0.0%,0.000
2017,1,2,26,small,1.0%,0.000
2017,1,2,27,small,2.0%,0.000
2017,1,2,28,small,0.5%,0.000
2017,1,2,29,small,0.5%,0.000
2017,1,2,30,small,2.0%,0.000
2017,1,2,31,small,0.0%,0.000
2017,1,2,32,large,1.0%,0.000
2017,1,2,33,small,0.5%,0.000
2017,1,2,34,large,1.0%,0.000
2017,1,2,35,small,0.0%,0.000
2017,1,2,36,large,2.0%,0.000
2017,1,3,1,large,0.5%,0.000
2017,1,3,2,large,2.0%,0.796
2017,1,3,3,small,0.0%,0.000
2017,1,3,4,small,1.0%,0.000
2017,1,3,5,large,1.0%,0.000
2017,1,3,6,large,0.0%,0.000
2017,1,3,7,small,2.0%,0.446
2017,1,3,8,small,0.5%,0.022
2017,1,3,9,small,0.0%,0.000
2017,1,3,10,large,2.0%,0.867
2017,1,3,11,small,1.0%,0.080
2017,1,3,12,small,0.5%,0.000
2017,1,3,13,small,1.0%,0.140
2017,1,3,14,small,2.0%,0.443
2017,1,3,15,small,0.0%,0.000
2017,1,3,16,small,0.5%,0.000
2017,1,3,17,small,2.0%,0.378
2017,1,3,18,large,0.0%,0.000
2017,1,3,19,small,1.0%,0.102
2017,1,3,20,large,0.5%,0.000
2017,1,3,21,small,0.0%,0.000
2017,1,3,22,small,2.0%,0.555
2017,1,3,23,large,0.5%,0.000
2017,1,3,24,small,1.0%,0.131
2017,1,3,25,large,0.0%,0.000
2017,1,3,26,small,1.0%,0.000
2017,1,3,27,small,2.0%,0.583
2017,1,3,28,small,0.5%,0.000
2017,1,3,29,small,0.5%,0.000
2017,1,3,30,small,2.0%,0.698
2017,1,3,31,small,0.0%,0.000
2017,1,3,32,large,1.0%,0.000
2017,1,3,33,small,0.5%,0.000
2017,1,3,34,large,1.0%,0.000
2017,1,3,35,small,0.0%,0.000
2017,1,3,36,large,2.0%,0.946
2017,1,4,1,large,0.5%,0.000
