tank,size,ration,starting length,rate,r2
1,large,0.5%,108,0.131,0.367
2,large,2.0%,96.6,0.109,0.477
3,small,0.0%,77.3,0.0504,0.0959
4,small,1.0%,68.7,0.0447,0.13
5,large,1.0%,96.9,0.151,0.496
6,large,0.0%,106,0.0165,0.0198
7,small,2.0%,73.8,0.0804,0.338
8,small,0.5%,77.8,0.0794,0.33
9,small,0.0%,76.5,0.0166,0.035
10,large,2.0%,95.7,0.101,0.317
11,small,1.0%,68.7,0.0501,0.157
12,small,0.5%,75.6,0.0758,0.465
13,small,1.0%,76.2,0.0802,0.331
14,small,2.0%,77.2,0.0639,0.225
15,small,0.0%,67.8,0,0.0227
16,small,0.5%,74.9,0.011,0.457
17,small,2.0%,74.9,0.0443,0.294
18,large,0.0%,104,0.0171,0.015
19,small,1.0%,76,0.102,0.268
20,large,0.5%,104,0.152,0.559
21,small,0.0%,70.4,0.0635,0.175
22,small,2.0%,78.2,0.0727,0.177
23,large,0.5%,93.6,0.139,0.545
24,small,1.0%,79.5,0.0883,0.237
25,large,0.0%,103,0.0237,0.033
26,small,1.0%,79.9,0.0992,0.213
27,small,2.0%,80.9,0.0777,0.317
28,small,0.5%,84,0.0923,0.52
29,small,0.5%,84.1,0.0876,0.495
30,small,2.0%,84.2,0.0869,0.49
31,small,0.0%,82.5,0.02,0.0606
32,large,1.0%,95,0.106,0.372
33,small,0.5%,82.7,0.0732,0.446
34,large,1.0%,105,0.127,0.68
35,small,0.0%,79.4,0.0698,0.0845
36,large,2.0%,106,0.161,0.561
