fish_num,mmSL,live_wet_weight,wet_weight_d,wet_evis,dry_evis1,dry_evis2,dry_evis3,dry_full1,dry_full2,dry_full3
1,54,1.386,1.39,1.28,0.224,0.225,0.226,0.246,0.245,
2,57,1.805,1.865,1.674,0.327,0.328,0.328,0.37,0.366,
3,58,1.873,1.857,1.706,0.316,0.317,0.317,0.344,0.342,
4,55,1.733,1.737,1.577,0.29,0.291,0.291,0.323,0.324,
5,62,2.389,2.362,2.185,0.405,0.4,0.401,0.437,0.436,
6,55,1.88,1.85,1.696,0.312,0.307,0.31,0.338,0.339,
7,106,7.052,8.925,8.238,1.535,1.533,1.535,1.649,1.641,
8,83,5.302,5.32,4.972,0.929,0.929,0.931,0.989,0.985,
9,60,2.175,2.168,1.993,0.369,0.371,0.373,0.42,0.425,
10,97,7.953,7.933,7.266,1.387,1.385,1.392,1.497,1.495,
11,109,11.75,11.722,10.948,2.073,2.077,2.078,2.23,2.224,
12,100,8.975,8.867,8.013,1.64,1.642,1.645,1.784,1.78,
13,120,15.147,15.221,13.725,2.554,2.549,2.554,2.816,2.813,
14,111,13.9,13.828,12.748,2.386,2.387,2.394,2.586,2.582,
15,102,9.052,9.087,8.354,1.585,1.583,1.588,1.718,1.713,
16,100,10.043,9.912,8.951,1.696,1.696,1.699,1.886,1.884,
